specimen_id,assay_target,npx
T-Q01-NL-prot,TYK2,4.821
T-Q01-NL-prot,IL17A,5.978
T-Q01-NL-prot,S100A8,1.894
T-Q01-NL-prot,IFNG,2.881
T-Q01-L-prot,TYK2,5.425
T-Q01-L-prot,IL17A,1.84
T-Q01-L-prot,S100A8,2.579
T-Q01-L-prot,IFNG,1.799
T-Q02-NL-prot,TYK2,4.523
T-Q02-NL-prot,IL17A,1.784
T-Q02-NL-prot,S100A8,5.757
T-Q02-NL-prot,IFNG,3.808
T-Q02-L-prot,TYK2,5.108
T-Q02-L-prot,IL17A,2.584
T-Q02-L-prot,S100A8,5.486
T-Q02-L-prot,IFNG,2.543
T-Q03-NL-prot,TYK2,3.152
T-Q03-NL-prot,IL17A,2.491
T-Q03-NL-prot,S100A8,5.383
T-Q03-NL-prot,IFNG,3.55
T-Q03-L-prot,TYK2,3.908
T-Q03-L-prot,IL17A,3.253
T-Q03-L-prot,S100A8,2.208
T-Q03-L-prot,IFNG,1.918
T-Q04-NL-prot,TYK2,3.409
T-Q04-NL-prot,IL17A,4.837
T-Q04-NL-prot,S100A8,4.55
T-Q04-NL-prot,IFNG,1.293
T-Q04-L-prot,TYK2,4.289
T-Q04-L-prot,IL17A,5.084
T-Q04-L-prot,S100A8,1.678
T-Q04-L-prot,IFNG,1.546
T-Q05-NL-prot,TYK2,3.598
T-Q05-NL-prot,IL17A,3.59
T-Q05-NL-prot,S100A8,3.903
T-Q05-NL-prot,IFNG,4.629
T-Q05-L-prot,TYK2,4.327
T-Q05-L-prot,IL17A,2.905
T-Q05-L-prot,S100A8,1.896
T-Q05-L-prot,IFNG,1.885
T-Q06-NL-prot,TYK2,4.305
T-Q06-NL-prot,IL17A,2.641
T-Q06-NL-prot,S100A8,2.685
T-Q06-NL-prot,IFNG,1.251
T-Q06-L-prot,TYK2,5.327
T-Q06-L-prot,IL17A,1.587
T-Q06-L-prot,S100A8,2.081
T-Q06-L-prot,IFNG,4.282
T-Q07-NL-prot,TYK2,3.947
T-Q07-NL-prot,IL17A,3.669
T-Q07-NL-prot,S100A8,2.835
T-Q07-NL-prot,IFNG,1.641
T-Q07-L-prot,TYK2,4.814
T-Q07-L-prot,IL17A,5.21
T-Q07-L-prot,S100A8,2.997
T-Q07-L-prot,IFNG,3.176
T-Q08-NL-prot,TYK2,3.271
T-Q08-NL-prot,IL17A,4.907
T-Q08-NL-prot,S100A8,1.539
T-Q08-NL-prot,IFNG,3.938
T-Q08-L-prot,TYK2,4.213
T-Q08-L-prot,IL17A,1.173
T-Q08-L-prot,S100A8,4.088
T-Q08-L-prot,IFNG,2.326
T-Q09-NL-prot,TYK2,4.161
T-Q09-NL-prot,IL17A,5.915
T-Q09-NL-prot,S100A8,5.499
T-Q09-NL-prot,IFNG,4.582
T-Q09-L-prot,TYK2,5.194
T-Q09-L-prot,IL17A,1.873
T-Q09-L-prot,S100A8,3.912
T-Q09-L-prot,IFNG,4.727
T-Q10-NL-prot,TYK2,4.535
T-Q10-NL-prot,IL17A,3.96
T-Q10-NL-prot,S100A8,5.265
T-Q10-NL-prot,IFNG,1.881
T-Q10-L-prot,TYK2,5.26
T-Q10-L-prot,IL17A,1.681
T-Q10-L-prot,S100A8,1.83
T-Q10-L-prot,IFNG,3.76
T-Q11-NL-prot,TYK2,4.147
T-Q11-NL-prot,IL17A,2.63
T-Q11-NL-prot,S100A8,5.682
T-Q11-NL-prot,IFNG,5.358
T-Q11-L-prot,TYK2,4.771
T-Q11-L-prot,IL17A,4.122
T-Q11-L-prot,S100A8,1.766
T-Q11-L-prot,IFNG,2.42
T-Q12-NL-prot,TYK2,4.686
T-Q12-NL-prot,IL17A,1.29
T-Q12-NL-prot,S100A8,4.692
T-Q12-NL-prot,IFNG,2.712
T-Q12-L-prot,TYK2,5.622
T-Q12-L-prot,IL17A,3.271
T-Q12-L-prot,S100A8,1.013
T-Q12-L-prot,IFNG,5.345
