specimen_id,gene,log2cpm
S-P01-NL,TYK2,4.862
S-P01-NL,JAK1,4.569
S-P01-NL,STAT3,5.61
S-P01-NL,IL17A,5.39
S-P01-NL,IL23R,2.465
S-P01-NL,KRT16,2.973
S-P01-NL,S100A8,7.326
S-P01-NL,GAPDH,8.934
S-P01-NL,ACTB,7.021
S-P01-NL,IFNG,5.464
S-P01-L,TYK2,6.008
S-P01-L,JAK1,7.999
S-P01-L,STAT3,3.055
S-P01-L,IL17A,2.184
S-P01-L,IL23R,2.445
S-P01-L,KRT16,3.264
S-P01-L,S100A8,7.886
S-P01-L,GAPDH,6.815
S-P01-L,ACTB,8.839
S-P01-L,IFNG,6.084
S-P02-NL,TYK2,5.217
S-P02-NL,JAK1,4.962
S-P02-NL,STAT3,3.839
S-P02-NL,IL17A,2.527
S-P02-NL,IL23R,5.666
S-P02-NL,KRT16,6.706
S-P02-NL,S100A8,5.233
S-P02-NL,GAPDH,4.126
S-P02-NL,ACTB,8.365
S-P02-NL,IFNG,4.524
S-P02-L,TYK2,6.352
S-P02-L,JAK1,2.926
S-P02-L,STAT3,8.368
S-P02-L,IL17A,6.673
S-P02-L,IL23R,4.202
S-P02-L,KRT16,6.366
S-P02-L,S100A8,2.495
S-P02-L,GAPDH,3.757
S-P02-L,ACTB,2.293
S-P02-L,IFNG,7.034
S-P03-NL,TYK2,4.502
S-P03-NL,JAK1,4.626
S-P03-NL,STAT3,6.101
S-P03-NL,IL17A,6.813
S-P03-NL,IL23R,2.738
S-P03-NL,KRT16,7.151
S-P03-NL,S100A8,7.45
S-P03-NL,GAPDH,4.282
S-P03-NL,ACTB,2.068
S-P03-NL,IFNG,5.006
S-P03-L,TYK2,5.555
S-P03-L,JAK1,8.272
S-P03-L,STAT3,7.076
S-P03-L,IL17A,2.437
S-P03-L,IL23R,4.952
S-P03-L,KRT16,2.288
S-P03-L,S100A8,7.382
S-P03-L,GAPDH,6.711
S-P03-L,ACTB,4.267
S-P03-L,IFNG,5.409
S-P04-NL,TYK2,5.681
S-P04-NL,JAK1,4.913
S-P04-NL,STAT3,4.378
S-P04-NL,IL17A,8.793
S-P04-NL,IL23R,4.2
S-P04-NL,KRT16,2.805
S-P04-NL,S100A8,3.642
S-P04-NL,GAPDH,8.407
S-P04-NL,ACTB,7.963
S-P04-NL,IFNG,5.781
S-P04-L,TYK2,6.853
S-P04-L,JAK1,4.312
S-P04-L,STAT3,6.124
S-P04-L,IL17A,7.664
S-P04-L,IL23R,7.094
S-P04-L,KRT16,4.715
S-P04-L,S100A8,3.087
S-P04-L,GAPDH,8.077
S-P04-L,ACTB,8.076
S-P04-L,IFNG,7.267
S-P05-NL,TYK2,5.779
S-P05-NL,JAK1,6.662
S-P05-NL,STAT3,5.255
S-P05-NL,IL17A,8.556
S-P05-NL,IL23R,4.315
S-P05-NL,KRT16,4.176
S-P05-NL,S100A8,6.523
S-P05-NL,GAPDH,2.713
S-P05-NL,ACTB,2.642
S-P05-NL,IFNG,3.636
S-P05-L,TYK2,7.066
S-P05-L,JAK1,2.735
S-P05-L,STAT3,4.625
S-P05-L,IL17A,7.88
S-P05-L,IL23R,5.302
S-P05-L,KRT16,7.687
S-P05-L,S100A8,2.038
S-P05-L,GAPDH,3.032
S-P05-L,ACTB,7.988
S-P05-L,IFNG,4.291
S-P06-NL,TYK2,4.34
S-P06-NL,JAK1,6.509
S-P06-NL,STAT3,6.165
S-P06-NL,IL17A,6.687
S-P06-NL,IL23R,4.24
S-P06-NL,KRT16,6.484
S-P06-NL,S100A8,4.353
S-P06-NL,GAPDH,3.136
S-P06-NL,ACTB,8.34
S-P06-NL,IFNG,2.993
S-P06-L,TYK2,5.27
S-P06-L,JAK1,7.683
S-P06-L,STAT3,3.715
S-P06-L,IL17A,8.346
S-P06-L,IL23R,8.251
S-P06-L,KRT16,5.481
S-P06-L,S100A8,5.811
S-P06-L,GAPDH,2.341
S-P06-L,ACTB,7.476
S-P06-L,IFNG,6.731
S-P07-NL,TYK2,5.083
S-P07-NL,JAK1,5.702
S-P07-NL,STAT3,7.569
S-P07-NL,IL17A,2.555
S-P07-NL,IL23R,5.136
S-P07-NL,KRT16,3.909
S-P07-NL,S100A8,4.925
S-P07-NL,GAPDH,2.51
S-P07-NL,ACTB,6.945
S-P07-NL,IFNG,3.496
S-P07-L,TYK2,6.418
S-P07-L,JAK1,2.399
S-P07-L,STAT3,3.433
S-P07-L,IL17A,5.708
S-P07-L,IL23R,3.566
S-P07-L,KRT16,7.622
S-P07-L,S100A8,4.244
S-P07-L,GAPDH,4.741
S-P07-L,ACTB,8.978
S-P07-L,IFNG,8.841
S-P08-NL,TYK2,5.704
S-P08-NL,JAK1,2.216
S-P08-NL,STAT3,2.361
S-P08-NL,IL17A,7.015
S-P08-NL,IL23R,5.67
S-P08-NL,KRT16,7.081
S-P08-NL,S100A8,3.676
S-P08-NL,GAPDH,5.6
S-P08-NL,ACTB,6.938
S-P08-NL,IFNG,2.385
S-P08-L,TYK2,6.758
S-P08-L,JAK1,8.433
S-P08-L,STAT3,4.099
S-P08-L,IL17A,7.587
S-P08-L,IL23R,2.606
S-P08-L,KRT16,3.884
S-P08-L,S100A8,4.714
S-P08-L,GAPDH,8.432
