specimen_id,assay_target,npx
S-P01-NL,TYK2,4.419
S-P01-NL,IL17A,4.419
S-P01-NL,S100A8,1.478
S-P01-NL,IFNG,5.247
S-P01-L,TYK2,5.267
S-P01-L,IL17A,5.267
S-P01-L,S100A8,5.065
S-P01-L,IFNG,5.934
S-P02-NL,TYK2,4.68
S-P02-NL,IL17A,4.68
S-P02-NL,S100A8,2.383
S-P02-NL,IFNG,2.528
S-P02-L,TYK2,5.521
S-P02-L,IL17A,5.521
S-P02-L,S100A8,4.275
S-P02-L,IFNG,5.607
S-P03-NL,TYK2,4.67
S-P03-NL,IL17A,4.67
S-P03-NL,S100A8,1.149
S-P03-NL,IFNG,3.199
S-P03-L,TYK2,5.434
S-P03-L,IL17A,5.434
S-P03-L,S100A8,1.28
S-P03-L,IFNG,1.551
S-P04-NL,TYK2,4.73
S-P04-NL,IL17A,4.73
S-P04-NL,S100A8,4.236
S-P04-NL,IFNG,1.274
S-P04-L,TYK2,5.572
S-P04-L,IL17A,5.572
S-P04-L,S100A8,3.237
S-P04-L,IFNG,1.264
S-P05-NL,TYK2,3.533
S-P05-NL,IL17A,3.533
S-P05-NL,S100A8,1.039
S-P05-NL,IFNG,2.2
S-P05-L,TYK2,4.53
S-P05-L,IL17A,4.53
S-P05-L,S100A8,2.006
S-P05-L,IFNG,4.652
S-P06-NL,TYK2,3.983
S-P06-NL,IL17A,3.983
S-P06-NL,S100A8,2.262
S-P06-NL,IFNG,1.577
S-P06-L,TYK2,4.931
S-P06-L,IL17A,4.931
S-P06-L,S100A8,1.827
S-P06-L,IFNG,5.632
S-P07-NL,TYK2,4.144
S-P07-NL,IL17A,4.144
S-P07-NL,S100A8,5.923
S-P07-NL,IFNG,4.828
S-P07-L,TYK2,4.965
S-P07-L,IL17A,4.965
S-P07-L,S100A8,2.312
S-P07-L,IFNG,5.158
S-P08-NL,TYK2,3.797
S-P08-NL,IL17A,3.797
S-P08-NL,S100A8,2.808
S-P08-NL,IFNG,5.194
S-P08-L,TYK2,4.444
S-P08-L,IL17A,4.444
S-P08-L,S100A8,4.657
S-P08-L,IFNG,5.593
S-P09-NL,TYK2,3.568
S-P09-NL,IL17A,3.568
S-P09-NL,S100A8,4.054
S-P09-NL,IFNG,3.216
S-P09-L,TYK2,4.628
S-P09-L,IL17A,4.628
S-P09-L,S100A8,4.701
S-P09-L,IFNG,1.635
S-P10-NL,TYK2,3.207
S-P10-NL,IL17A,3.207
S-P10-NL,S100A8,5.114
S-P10-NL,IFNG,3.161
S-P10-L,TYK2,3.767
S-P10-L,IL17A,3.767
S-P10-L,S100A8,4.669
S-P10-L,IFNG,1.748
S-P11-NL,TYK2,4.349
S-P11-NL,IL17A,4.349
S-P11-NL,S100A8,2.146
S-P11-NL,IFNG,5.058
S-P11-L,TYK2,5.256
S-P11-L,IL17A,5.256
S-P11-L,S100A8,4.05
S-P11-L,IFNG,2.474
S-P12-NL,TYK2,3.338
S-P12-NL,IL17A,3.338
S-P12-NL,S100A8,2.688
S-P12-NL,IFNG,3.222
S-P12-L,TYK2,4.19
S-P12-L,IL17A,4.19
S-P12-L,S100A8,2.272
S-P12-L,IFNG,4.766
