specimen_id,gene,log2cpm
S-P01-NL,TYK2,5.224
S-P01-NL,JAK1,6.218
S-P01-NL,STAT3,2.058
S-P01-NL,IL17A,5.224
S-P01-NL,IL23R,6.32
S-P01-NL,KRT16,7.46
S-P01-NL,S100A8,6.76
S-P01-NL,GAPDH,7.993
S-P01-NL,ACTB,3.862
S-P01-NL,IFNG,3.294
S-P01-L,TYK2,6.323
S-P01-L,JAK1,3.283
S-P01-L,STAT3,4.209
S-P01-L,IL17A,6.323
S-P01-L,IL23R,8.735
S-P01-L,KRT16,7.874
S-P01-L,S100A8,8.956
S-P01-L,GAPDH,8.948
S-P01-L,ACTB,3.598
S-P01-L,IFNG,5.756
S-P02-NL,TYK2,4.078
S-P02-NL,JAK1,3.929
S-P02-NL,STAT3,7.685
S-P02-NL,IL17A,4.078
S-P02-NL,IL23R,3.802
S-P02-NL,KRT16,8.45
S-P02-NL,S100A8,2.934
S-P02-NL,GAPDH,8.101
S-P02-NL,ACTB,4.085
S-P02-NL,IFNG,4.653
S-P02-L,TYK2,5.001
S-P02-L,JAK1,6.56
S-P02-L,STAT3,6.729
S-P02-L,IL17A,5.001
S-P02-L,IL23R,5.855
S-P02-L,KRT16,5.872
S-P02-L,S100A8,2.236
S-P02-L,GAPDH,7.454
S-P02-L,ACTB,8.102
S-P02-L,IFNG,6.703
S-P03-NL,TYK2,4.49
S-P03-NL,JAK1,6.223
S-P03-NL,STAT3,3.67
S-P03-NL,IL17A,4.49
S-P03-NL,IL23R,2.048
S-P03-NL,KRT16,6.995
S-P03-NL,S100A8,5.324
S-P03-NL,GAPDH,8.497
S-P03-NL,ACTB,8.691
S-P03-NL,IFNG,6.287
S-P03-L,TYK2,5.788
S-P03-L,JAK1,2.593
S-P03-L,STAT3,5.154
S-P03-L,IL17A,5.788
S-P03-L,IL23R,8.739
S-P03-L,KRT16,4.986
S-P03-L,S100A8,6.718
S-P03-L,GAPDH,6.762
S-P03-L,ACTB,8.723
S-P03-L,IFNG,7.697
S-P04-NL,TYK2,4.657
S-P04-NL,JAK1,4.385
S-P04-NL,STAT3,2.252
S-P04-NL,IL17A,4.657
S-P04-NL,IL23R,8.972
S-P04-NL,KRT16,8.919
S-P04-NL,S100A8,5.266
S-P04-NL,GAPDH,3.421
S-P04-NL,ACTB,8.063
S-P04-NL,IFNG,6.373
S-P04-L,TYK2,5.737
S-P04-L,JAK1,5.359
S-P04-L,STAT3,7.337
S-P04-L,IL17A,5.737
S-P04-L,IL23R,8.313
S-P04-L,KRT16,6.113
S-P04-L,S100A8,6.033
S-P04-L,GAPDH,7.063
S-P04-L,ACTB,6.369
S-P04-L,IFNG,6.096
S-P05-NL,TYK2,4.182
S-P05-NL,JAK1,6.776
S-P05-NL,STAT3,5.243
S-P05-NL,IL17A,4.182
S-P05-NL,IL23R,4.101
S-P05-NL,KRT16,2.231
S-P05-NL,S100A8,5.274
S-P05-NL,GAPDH,5.251
S-P05-NL,ACTB,2.12
S-P05-NL,IFNG,3.216
S-P05-L,TYK2,5.193
S-P05-L,JAK1,2.545
S-P05-L,STAT3,6.297
S-P05-L,IL17A,5.193
S-P05-L,IL23R,6.821
S-P05-L,KRT16,8.759
S-P05-L,S100A8,7.869
S-P05-L,GAPDH,2.065
S-P05-L,ACTB,3.226
S-P05-L,IFNG,4.397
S-P06-NL,TYK2,5.904
S-P06-NL,JAK1,3.985
S-P06-NL,STAT3,8.699
S-P06-NL,IL17A,5.904
S-P06-NL,IL23R,8.262
