specimen_id,assay_target,npx
S-P01-NL-prot,TYK2,4.57
S-P01-NL-prot,IL17A,4.752
S-P01-NL-prot,S100A8,2.386
S-P01-NL-prot,IFNG,4.098
S-P01-L-prot,TYK2,5.293
S-P01-L-prot,IL17A,4.351
S-P01-L-prot,S100A8,2.371
S-P01-L-prot,IFNG,2.875
S-P02-NL-prot,TYK2,4.746
S-P02-NL-prot,IL17A,2.48
S-P02-NL-prot,S100A8,5.689
S-P02-NL-prot,IFNG,2.225
S-P02-L-prot,TYK2,5.623
S-P02-L-prot,IL17A,3.371
S-P02-L-prot,S100A8,3.966
S-P02-L-prot,IFNG,5.798
S-P03-NL-prot,TYK2,4.278
S-P03-NL-prot,IL17A,4.354
S-P03-NL-prot,S100A8,2.36
S-P03-NL-prot,IFNG,1.584
S-P03-L-prot,TYK2,5.016
S-P03-L-prot,IL17A,4.024
S-P03-L-prot,S100A8,1.457
S-P03-L-prot,IFNG,5.811
S-P04-NL-prot,TYK2,4.972
S-P04-NL-prot,IL17A,1.389
S-P04-NL-prot,S100A8,3.695
S-P04-NL-prot,IFNG,3.334
S-P04-L-prot,TYK2,5.753
S-P04-L-prot,IL17A,3.524
S-P04-L-prot,S100A8,4.646
S-P04-L-prot,IFNG,5.141
S-P05-NL-prot,TYK2,3.485
S-P05-NL-prot,IL17A,2.668
S-P05-NL-prot,S100A8,4.023
S-P05-NL-prot,IFNG,1.601
S-P05-L-prot,TYK2,4.144
S-P05-L-prot,IL17A,5.174
S-P05-L-prot,S100A8,2.192
S-P05-L-prot,IFNG,4.191
S-P06-NL-prot,TYK2,3.62
S-P06-NL-prot,IL17A,4.806
S-P06-NL-prot,S100A8,2.087
S-P06-NL-prot,IFNG,1.809
S-P06-L-prot,TYK2,4.492
S-P06-L-prot,IL17A,2.85
S-P06-L-prot,S100A8,4.702
S-P06-L-prot,IFNG,2.605
S-P07-NL-prot,TYK2,3.218
S-P07-NL-prot,IL17A,4.003
S-P07-NL-prot,S100A8,5.842
S-P07-NL-prot,IFNG,1.184
S-P07-L-prot,TYK2,3.955
S-P07-L-prot,IL17A,1.23
S-P07-L-prot,S100A8,2.456
S-P07-L-prot,IFNG,3.347
S-P08-NL-prot,TYK2,3.53
S-P08-NL-prot,IL17A,4.002
S-P08-NL-prot,S100A8,5.874
S-P08-NL-prot,IFNG,4.221
S-P08-L-prot,TYK2,4.275
S-P08-L-prot,IL17A,5.905
S-P08-L-prot,S100A8,2.295
S-P08-L-prot,IFNG,3.4
S-P09-NL-prot,TYK2,3.123
S-P09-NL-prot,IL17A,1.716
S-P09-NL-prot,S100A8,4.1
S-P09-NL-prot,IFNG,3.287
S-P09-L-prot,TYK2,4.051
S-P09-L-prot,IL17A,4.087
S-P09-L-prot,S100A8,3.17
S-P09-L-prot,IFNG,5.741
S-P10-NL-prot,TYK2,3.078
S-P10-NL-prot,IL17A,4.559
S-P10-NL-prot,S100A8,1.944
S-P10-NL-prot,IFNG,3.101
S-P10-L-prot,TYK2,3.945
S-P10-L-prot,IL17A,4.121
S-P10-L-prot,S100A8,4.98
S-P10-L-prot,IFNG,3.406
S-P11-NL-prot,TYK2,3.404
S-P11-NL-prot,IL17A,3.502
S-P11-NL-prot,S100A8,1.76
S-P11-NL-prot,IFNG,2.844
S-P11-L-prot,TYK2,4.108
S-P11-L-prot,IL17A,2.257
S-P11-L-prot,S100A8,2.046
S-P11-L-prot,IFNG,1.357
S-P12-NL-prot,TYK2,3.67
S-P12-NL-prot,IL17A,1.309
S-P12-NL-prot,S100A8,1.931
S-P12-NL-prot,IFNG,4.964
S-P12-L-prot,TYK2,4.501
S-P12-L-prot,IL17A,3.116
S-P12-L-prot,S100A8,3.127
S-P12-L-prot,IFNG,5.428
