specimen_id,gene,log2cpm
S-P01-NL,TYK2,5.956
S-P01-NL,JAK1,2.553
S-P01-NL,STAT3,5.346
S-P01-NL,IL17A,7.575
S-P01-NL,IL23R,3.527
S-P01-NL,KRT16,3.766
S-P01-NL,S100A8,5.175
S-P01-NL,GAPDH,3.698
S-P01-NL,ACTB,2.987
S-P01-NL,IFNG,8.629
S-P01-L,TYK2,7.115
S-P01-L,JAK1,6.266
S-P01-L,STAT3,5.292
S-P01-L,IL17A,6.207
S-P01-L,IL23R,3.595
S-P01-L,KRT16,6.081
S-P01-L,S100A8,2.661
S-P01-L,GAPDH,5.617
S-P01-L,ACTB,3.454
S-P01-L,IFNG,6.502
S-P02-NL,TYK2,5.082
S-P02-NL,JAK1,8.41
S-P02-NL,STAT3,4.45
S-P02-NL,IL17A,4.426
S-P02-NL,IL23R,4.547
S-P02-NL,KRT16,3.868
S-P02-NL,S100A8,7.177
S-P02-NL,GAPDH,7.771
S-P02-NL,ACTB,6.867
S-P02-NL,IFNG,4.429
S-P02-L,TYK2,6.048
S-P02-L,JAK1,6.398
S-P02-L,STAT3,5.178
S-P02-L,IL17A,3.124
S-P02-L,IL23R,6.564
S-P02-L,KRT16,7.058
S-P02-L,S100A8,7.165
S-P02-L,GAPDH,2.753
S-P02-L,ACTB,8.997
S-P02-L,IFNG,3.793
S-P03-NL,TYK2,5.138
S-P03-NL,JAK1,4.946
S-P03-NL,STAT3,2.337
S-P03-NL,IL17A,6.839
S-P03-NL,IL23R,2.693
S-P03-NL,KRT16,5.832
S-P03-NL,S100A8,3.775
S-P03-NL,GAPDH,5.603
S-P03-NL,ACTB,4.403
S-P03-NL,IFNG,3.915
S-P03-L,TYK2,5.977
S-P03-L,JAK1,2.387
S-P03-L,STAT3,5.04
S-P03-L,IL17A,3.84
S-P03-L,IL23R,3.209
S-P03-L,KRT16,8.0
S-P03-L,S100A8,7.318
S-P03-L,GAPDH,6.341
S-P03-L,ACTB,5.905
S-P03-L,IFNG,6.259
S-P04-NL,TYK2,4.122
S-P04-NL,JAK1,2.178
S-P04-NL,STAT3,4.226
S-P04-NL,IL17A,8.528
S-P04-NL,IL23R,8.692
S-P04-NL,KRT16,3.547
S-P04-NL,S100A8,6.423
S-P04-NL,GAPDH,6.208
S-P04-NL,ACTB,3.818
S-P04-NL,IFNG,8.205
S-P04-L,TYK2,5.137
S-P04-L,JAK1,5.167
S-P04-L,STAT3,2.867
S-P04-L,IL17A,4.542
S-P04-L,IL23R,6.797
S-P04-L,KRT16,4.981
S-P04-L,S100A8,3.283
S-P04-L,GAPDH,8.107
S-P04-L,ACTB,5.526
S-P04-L,IFNG,2.015
S-P05-NL,TYK2,5.676
S-P05-NL,JAK1,6.947
S-P05-NL,STAT3,7.638
S-P05-NL,IL17A,6.263
S-P05-NL,IL23R,8.827
S-P05-NL,KRT16,4.56
S-P05-NL,S100A8,6.674
S-P05-NL,GAPDH,7.015
S-P05-NL,ACTB,4.989
S-P05-NL,IFNG,6.822
S-P05-L,TYK2,7.028
S-P05-L,JAK1,2.848
S-P05-L,STAT3,8.886
S-P05-L,IL17A,7.365
S-P05-L,IL23R,5.171
S-P05-L,KRT16,5.883
S-P05-L,S100A8,6.802
S-P05-L,GAPDH,3.493
S-P05-L,ACTB,2.082
S-P05-L,IFNG,4.327
S-P06-NL,TYK2,5.912
S-P06-NL,JAK1,4.62
S-P06-NL,STAT3,8.653
S-P06-NL,IL17A,8.518
S-P06-NL,IL23R,3.297
S-P06-NL,KRT16,6.715
S-P06-NL,S100A8,8.523
S-P06-NL,GAPDH,8.019
S-P06-NL,ACTB,6.288
S-P06-NL,IFNG,4.078
S-P06-L,TYK2,6.965
S-P06-L,JAK1,6.853
S-P06-L,STAT3,2.809
S-P06-L,IL17A,4.213
S-P06-L,IL23R,4.88
S-P06-L,KRT16,8.697
S-P06-L,S100A8,8.526
S-P06-L,GAPDH,4.013
S-P06-L,ACTB,7.483
S-P06-L,IFNG,5.343
S-P07-NL,TYK2,5.548
S-P07-NL,JAK1,8.592
S-P07-NL,STAT3,8.473
S-P07-NL,IL17A,3.377
S-P07-NL,IL23R,3.948
S-P07-NL,KRT16,5.164
S-P07-NL,S100A8,5.694
S-P07-NL,GAPDH,6.814
S-P07-NL,ACTB,5.638
S-P07-NL,IFNG,4.395
S-P07-L,TYK2,6.407
S-P07-L,JAK1,8.951
S-P07-L,STAT3,8.412
S-P07-L,IL17A,7.906
S-P07-L,IL23R,4.307
S-P07-L,KRT16,4.495
S-P07-L,S100A8,4.47
S-P07-L,GAPDH,7.205
S-P07-L,ACTB,8.846
S-P07-L,IFNG,8.658
S-P08-NL,TYK2,5.961
S-P08-NL,JAK1,6.509
S-P08-NL,STAT3,5.647
S-P08-NL,IL17A,3.061
S-P08-NL,IL23R,4.672
S-P08-NL,KRT16,3.392
S-P08-NL,S100A8,7.185
S-P08-NL,GAPDH,2.7
S-P08-NL,ACTB,2.955
S-P08-NL,IFNG,3.065
