specimen_id,assay_target,npx
S-P01-NL,TYK2,3.446
S-P01-NL,IL17A,2.721
S-P01-NL,S100A8,3.01
S-P01-NL,IFNG,5.484
S-P01-L,TYK2,4.291
S-P01-L,IL17A,1.006
S-P01-L,S100A8,5.266
S-P01-L,IFNG,1.434
S-P02-NL,TYK2,4.578
S-P02-NL,IL17A,2.958
S-P02-NL,S100A8,4.634
S-P02-NL,IFNG,5.802
S-P02-L,TYK2,5.563
S-P02-L,IL17A,2.942
S-P02-L,S100A8,2.741
S-P02-L,IFNG,3.834
S-P03-NL,TYK2,3.46
S-P03-NL,IL17A,3.653
S-P03-NL,S100A8,1.035
S-P03-NL,IFNG,1.349
S-P03-L,TYK2,4.296
S-P03-L,IL17A,4.145
S-P03-L,S100A8,1.025
S-P03-L,IFNG,5.578
S-P04-NL,TYK2,3.696
S-P04-NL,IL17A,5.501
S-P04-NL,S100A8,5.09
S-P04-NL,IFNG,1.901
S-P04-L,TYK2,4.619
S-P04-L,IL17A,1.814
S-P04-L,S100A8,4.296
S-P04-L,IFNG,3.7
S-P05-NL,TYK2,3.773
S-P05-NL,IL17A,2.875
S-P05-NL,S100A8,3.025
S-P05-NL,IFNG,2.349
S-P05-L,TYK2,4.44
S-P05-L,IL17A,3.459
S-P05-L,S100A8,3.055
S-P05-L,IFNG,2.856
S-P06-NL,TYK2,4.081
S-P06-NL,IL17A,2.418
S-P06-NL,S100A8,5.01
S-P06-NL,IFNG,1.793
S-P06-L,TYK2,5.012
S-P06-L,IL17A,1.478
S-P06-L,S100A8,1.487
S-P06-L,IFNG,1.628
S-P07-NL,TYK2,4.029
S-P07-NL,IL17A,2.629
S-P07-NL,S100A8,2.033
S-P07-NL,IFNG,1.598
S-P07-L,TYK2,4.782
S-P07-L,IL17A,4.459
S-P07-L,S100A8,3.739
S-P07-L,IFNG,2.365
S-P08-NL,TYK2,4.726
S-P08-NL,IL17A,5.494
S-P08-NL,S100A8,3.52
S-P08-NL,IFNG,3.585
S-P08-L,TYK2,5.508
S-P08-L,IL17A,4.753
S-P08-L,S100A8,2.587
S-P08-L,IFNG,1.646
S-P09-NL,TYK2,3.792
S-P09-NL,IL17A,1.494
S-P09-NL,S100A8,1.833
S-P09-NL,IFNG,3.919
S-P09-L,TYK2,4.631
S-P09-L,IL17A,4.682
S-P09-L,S100A8,2.588
S-P09-L,IFNG,5.92
S-P10-NL,TYK2,4.765
S-P10-NL,IL17A,3.623
S-P10-NL,S100A8,2.509
S-P10-NL,IFNG,4.191
S-P10-L,TYK2,5.317
S-P10-L,IL17A,4.761
S-P10-L,S100A8,4.046
S-P10-L,IFNG,4.847
S-P11-NL,TYK2,3.317
S-P11-NL,IL17A,2.022
S-P11-NL,S100A8,2.504
S-P11-NL,IFNG,2.759
S-P11-L,TYK2,4.236
S-P11-L,IL17A,3.182
S-P11-L,S100A8,5.787
S-P11-L,IFNG,5.248
S-P12-NL,TYK2,3.627
S-P12-NL,IL17A,3.984
S-P12-NL,S100A8,1.638
S-P12-NL,IFNG,3.648
S-P12-L,TYK2,4.536
S-P12-L,IL17A,3.2
S-P12-L,S100A8,5.482
S-P12-L,IFNG,4.291
