specimen_id,gene,log2cpm
S-P01-NL,TYK2,4.563
S-P01-NL,JAK1,8.956
S-P01-NL,STAT3,5.475
S-P01-NL,IL17A,5.445
S-P01-NL,IL23R,2.742
S-P01-NL,KRT16,5.871
S-P01-NL,S100A8,2.146
S-P01-NL,GAPDH,6.022
S-P01-NL,ACTB,2.097
S-P01-NL,IFNG,4.066
S-P01-L,TYK2,5.39
S-P01-L,JAK1,2.781
S-P01-L,STAT3,6.988
S-P01-L,IL17A,5.811
S-P01-L,IL23R,3.681
S-P01-L,KRT16,3.066
S-P01-L,S100A8,8.884
S-P01-L,GAPDH,2.895
S-P01-L,ACTB,4.886
S-P01-L,IFNG,8.373
S-P02-NL,TYK2,5.576
S-P02-NL,JAK1,4.441
S-P02-NL,STAT3,6.429
S-P02-NL,IL17A,8.179
S-P02-NL,IL23R,3.347
S-P02-NL,KRT16,3.376
S-P02-NL,S100A8,5.904
S-P02-NL,GAPDH,4.742
S-P02-NL,ACTB,8.279
S-P02-NL,IFNG,3.301
S-P02-L,TYK2,6.567
S-P02-L,JAK1,3.631
S-P02-L,STAT3,5.005
S-P02-L,IL17A,2.768
S-P02-L,IL23R,8.975
S-P02-L,KRT16,6.561
S-P02-L,S100A8,6.254
S-P02-L,GAPDH,5.363
S-P02-L,ACTB,2.571
S-P02-L,IFNG,8.662
S-P03-NL,TYK2,5.227
S-P03-NL,JAK1,7.946
S-P03-NL,STAT3,6.593
S-P03-NL,IL17A,5.691
S-P03-NL,IL23R,8.068
S-P03-NL,KRT16,3.263
S-P03-NL,S100A8,5.013
S-P03-NL,GAPDH,8.436
S-P03-NL,ACTB,8.97
S-P03-NL,IFNG,3.14
S-P03-L,TYK2,6.346
S-P03-L,JAK1,8.283
S-P03-L,STAT3,4.609
S-P03-L,IL17A,5.476
S-P03-L,IL23R,4.217
S-P03-L,KRT16,5.475
S-P03-L,S100A8,7.75
S-P03-L,GAPDH,6.023
S-P03-L,ACTB,3.318
S-P03-L,IFNG,4.367
S-P04-NL,TYK2,5.83
S-P04-NL,JAK1,3.948
S-P04-NL,STAT3,8.761
S-P04-NL,IL17A,2.19
S-P04-NL,IL23R,6.016
S-P04-NL,KRT16,4.629
S-P04-NL,S100A8,8.053
S-P04-NL,GAPDH,3.767
S-P04-NL,ACTB,5.433
S-P04-NL,IFNG,7.589
S-P04-L,TYK2,6.922
S-P04-L,JAK1,7.392
S-P04-L,STAT3,4.307
S-P04-L,IL17A,8.547
S-P04-L,IL23R,8.253
S-P04-L,KRT16,7.557
S-P04-L,S100A8,8.041
S-P04-L,GAPDH,7.881
S-P04-L,ACTB,7.186
S-P04-L,IFNG,6.163
S-P05-NL,TYK2,4.513
S-P05-NL,JAK1,8.401
S-P05-NL,STAT3,8.298
S-P05-NL,IL17A,7.205
